Running time,XEntropy,Test performance,Best Validation score,Max epochs,N epochs,Activation function +AC0- hidden,Activation function +AC0- highway,L2+AF8-reg parameter,L1+AF8-reg parameter,Batch size,Iterations,Hidden neurons per layer,Hidden Layers,Highway Layers,Leaning rate,Rho,Patience    ,b+AF8-T
10.0660085162,0.3029253095,5.45,4.88,50,50,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,8000,50,1,19,0.01,0.5,79990,+AC0-5
8.3811755697,0.1056536812,3.74,3.31,50,50,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,10500,50,1,19,0.01,0.9,104990,+AC0-5
10.1436453501,0.1518731292,5.37,4.81,50,50,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,25000,50,1,19,0.01,0.99,249990,+AC0-5
10.0569783648,0.1504305437,3.91,3.52,50,50,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,11000,50,1,19,0.005,0.5,109990,+AC0-5
10.0904772838,0.0500617079,3.41,2.88,50,50,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,21500,50,1,19,0.005,0.9,214990,+AC0-5
9.4452444514,0.0288430786,3.29,3.06,50,50,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,21500,50,1,19,0.005,0.99,214990,+AC0-5
2.1896269679,0.4004501206,9.61,9.27,50,50,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,4500,50,1,19,0.05,0.5,44990,+AC0-5
2.2346349994,0.3985278803,10.55,9.92,50,50,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,5000,50,1,19,0.05,0.9,49990,+AC0-5
2.2510335167,3.0427752686,87.73,87.49,50,50,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,4500,50,1,19,0.05,0.99,44990,+AC0-5
2.2054736018,0.0414104804,3.03,2.99,50,50,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,4300,50,1,19,0.01,0.5,42990,+AC0-5
2.1935475191,0.031613876,3.34,3.17,50,50,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,4100,50,1,19,0.01,0.9,40990,+AC0-5
2.1872279684,0.0512610981,4.47,4.01,50,50,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,2000,50,1,19,0.01,0.99,19990,+AC0-5
2.2113294681,0.0153108256,3.18,3.08,50,50,+ADw-function relu at 0x7f37f9a93a28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,4600,50,1,19,0.005,0.5,45990,+AC0-5
